# Time_s	x	xdot	xddot	xdddot
2.155000	1.000977	0.605469	-0.058594	-0.644531
2.160000	0.166016	0.576172	0.375977	-2.460938
2.165000	-0.410156	-0.483398	1.079102	1.147461
2.170000	0.659180	-1.098633	-0.761719	0.585938
2.175000	1.772461	-0.009766	-0.668945	-0.444336
2.180000	1.484375	0.668945	-0.048828	-0.703125
2.185000	0.571289	0.615234	0.185547	-0.556641
2.190000	-0.166016	0.253906	0.927734	-1.259766
2.195000	-0.092773	-0.883789	-0.107422	0.815430
2.200000	1.020508	-0.415039	-0.722656	-0.073242
2.205000	1.245117	0.429688	-0.278320	-0.620117
2.210000	0.546875	0.639648	0.107422	-1.035156
2.215000	-0.263672	0.234375	1.259766	-1.123047
2.220000	-0.019531	-1.191406	-0.224609	1.040039
2.225000	1.440430	-0.527344	-0.874023	-0.058594
2.230000	1.757812	0.478516	-0.307617	-0.678711
2.235000	0.991211	0.693359	0.146484	-0.605469
2.240000	0.117188	0.473633	0.375977	-1.997070
2.245000	-0.322266	-0.434570	0.747070	0.893555
2.250000	0.546875	-0.791016	-0.659180	0.351562
2.255000	1.293945	0.107422	-0.522461	-0.463867
2.260000	0.917969	0.620117	-0.014648	-0.634766
2.265000	0.068359	0.551758	0.561523	-2.548828
2.270000	-0.390625	-0.688477	0.776367	1.196289
2.275000	0.839844	-1.005859	-0.830078	0.449219
2.280000	1.806641	0.107422	-0.600586	-0.517578
2.285000	1.391602	0.688477	0.000000	-0.688477
2.290000	0.473633	0.585938	0.185547	-0.971680
2.295000	-0.229492	0.146484	1.015625	-0.698242
2.300000	0.014648	-0.917969	-0.268555	0.742188
2.305000	1.108398	-0.302734	-0.698242	-0.166016
2.310000	1.201172	0.488281	-0.214844	-0.629883
2.315000	0.454102	0.629883	0.126953	-1.518555
2.320000	-0.322266	0.078125	1.342773	-0.283203
2.325000	0.141602	-1.215820	-0.410156	0.942383
2.330000	1.552734	-0.390625	-0.834961	-0.175781
2.335000	1.704102	0.541992	-0.234375	-0.698242
2.340000	0.878906	0.678711	0.161133	-0.576172
2.345000	0.039062	0.434570	0.517578	-2.016602
2.350000	-0.302734	-0.585938	0.493164	0.913086
2.355000	0.678711	-0.708008	-0.703125	0.239258
2.360000	1.303711	0.209961	-0.458984	-0.517578
2.365000	0.830078	0.639648	0.019531	-0.625000
2.370000	-0.019531	0.507812	0.761719	-2.456055
2.375000	-0.336914	-0.878906	0.478516	1.201172
2.380000	1.020508	-0.898438	-0.874023	0.312500
2.385000	1.821289	0.224609	-0.527344	-0.576172
2.390000	1.289062	0.703125	0.048828	-0.668945
2.395000	0.375977	0.556641	0.185547	-1.337891
2.400000	-0.278320	0.014648	1.049805	-0.014648
2.405000	0.141602	-0.917969	-0.410156	0.649414
2.410000	1.181641	-0.190430	-0.664062	-0.258789
2.415000	1.142578	0.537109	-0.161133	-0.639648
2.420000	0.346680	0.615234	0.161133	-1.933594
2.425000	-0.375977	-0.102539	1.342773	0.703125
2.430000	0.317383	-1.201172	-0.566406	0.825195
2.435000	1.650391	-0.253906	-0.791016	-0.278320
2.440000	1.635742	0.595703	-0.161133	-0.708008
2.445000	0.771484	0.659180	0.175781	-0.546875
2.450000	-0.039062	0.390625	0.668945	-1.889648
2.455000	-0.253906	-0.722656	0.263672	0.903320
2.460000	0.810547	-0.615234	-0.727539	0.126953
