NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
25.973752	12.925638	25.333502	4.096142
26.015145	12.899373	25.369238	4.096142
26.057560	12.899373	25.408854	4.084148
26.092974	12.899373	25.457872	4.084148
26.134552	12.886361	25.497284	4.084148
26.172968	12.886361	25.559958	4.050568
26.211877	12.886361	25.600837	4.050568
26.248450	12.886361	25.639739	4.050568
26.292359	12.913967	25.687879	4.032508
26.330832	12.913967	25.724247	4.032508
26.370490	12.913967	25.795186	4.032508
26.443150	12.907652	25.838591	4.022309
26.481454	12.907652	25.877927	4.022309
26.522583	12.907652	25.917888	4.022309
26.573972	12.888254	25.963167	3.987360
26.611495	12.888254	26.015551	3.987360
26.653856	12.894796	26.054035	3.987360
26.695767	12.894796	26.097222	3.933034
26.735141	12.894796	26.135775	3.933034
26.774709	12.894796	26.173245	3.933034
26.814898	12.896794	26.214069	3.915631
26.858853	12.896794	26.258612	3.915631
26.896947	12.896794	26.296593	3.915631
26.957711	12.900461	26.361752	3.906575
27.000340	12.900461	26.401351	3.906575
27.038019	12.900461	26.440155	3.906575
27.083389	12.923868	26.485023	3.866018
27.123480	12.923868	26.523437	3.866018
27.194259	12.887613	26.564754	3.866018
27.237998	12.887613	26.606483	3.827375
27.274690	12.887613	26.651526	3.827375
27.316260	12.887613	26.688690	3.827375
27.359440	12.907447	26.724528	3.827375
27.428720	12.907447	26.767893	3.815072
27.472619	12.899313	26.812512	3.815072
27.510840	12.899313	26.850185	3.815072
27.554846	12.899313	26.925232	3.791107
27.593619	12.909792	26.965700	3.791107
27.645337	12.909792	27.005224	3.791107
27.682776	12.909792	27.048919	3.755413
27.724206	12.909792	27.087028	3.755413
27.768754	12.923327	27.158138	3.722286
27.805537	12.923327	27.197892	3.722286
27.870131	12.894510	27.236347	3.722286
27.910017	12.894510	27.278376	3.683725
27.950561	12.894510	27.316217	3.683725
27.988390	12.920105	27.354546	3.683725
28.030514	12.920105	27.395942	3.683725
28.070711	12.920105	27.440636	3.654183
28.107828	12.920105	27.486555	3.654183
28.156195	12.909005	27.524810	3.654183
28.193583	12.909005	27.569324	3.627334
28.236429	12.909005	27.612896	3.627334
28.275698	12.925131	27.652269	3.627334
28.320164	12.925131	27.718104	3.622137
28.358594	12.925131	27.756237	3.622137
28.431420	12.935110	27.793881	3.622137
28.474343	12.935110	27.837516	3.571141
28.511399	12.935110	27.882881	3.571141
28.558948	12.938847	27.919959	3.571141
28.596182	12.938847	27.983114	3.542931
28.665549	12.933599	28.021062	3.542931
28.709419	12.933599	28.059080	3.542931
28.744584	12.933599	28.104450	3.519158
28.786938	12.930415	28.145093	3.519158
28.828163	12.930415	28.184549	3.519158
28.898169	12.930415	28.236303	3.483547
28.940089	12.957080	28.275685	3.483547
28.976324	12.957080	28.341792	3.470958
29.019165	12.957080	28.383233	3.470958
29.056525	12.969567	28.425799	3.470958
29.104919	12.969567	28.469677	3.424208
29.140755	12.969567	28.510194	3.424208
29.176044	12.969567	28.550786	3.424208
29.219611	12.951679	28.590298	3.424208
29.257893	12.951679	28.631604	3.402289
29.296740	12.951679	28.669956	3.402289
29.339632	12.969068	28.708699	3.402289
29.377602	12.969068	28.750771	3.372419
29.440797	12.969068	28.788788	3.372419
29.481822	12.978720	28.826631	3.372419
29.523486	12.978720	28.865636	3.345778
29.563726	12.978720	28.913847	3.345778
29.605860	12.988331	28.954230	3.345778
29.644103	12.988331	28.994027	3.345778
29.684531	12.988331	29.036259	3.328424
29.721850	12.988331	29.108271	3.328424
29.767886	12.999282	29.149079	3.303443
29.805292	12.999282	29.192322	3.303443
29.844826	12.999282	29.233621	3.303443
29.918575	12.984927	29.274979	3.262886
29.965868	12.984927	29.316810	3.262886
30.013052	12.993094	29.355381	3.262886
30.051854	12.993094	29.397165	3.232305
30.091388	12.993094	29.439342	3.232305
30.138623	13.014508	29.478075	3.232305
30.207107	13.014508	29.514930	3.232305
30.244016	13.014508	29.558398	3.180938
30.286589	13.005707	29.597118	3.180938
30.327550	13.005707	29.638649	3.180938
